"chunk_id","edition_id","line_id","page","line_no","box","text","text_hash","chunk_type"
19728,1,"FR19728",562,28,"[56.8, 593.11, 543.04, 613.54]","insultée.  Vous  ne  pensez  jamais  qu’à  ça  vous  autres !  À","39934fadec7b9e3e898abda07f109a49","main_text"
19729,1,"FR19729",562,29,"[56.8, 613.51, 543.04, 633.94]","l’amusement !... Et  du  coup,  toute  une  série  de  soupirs","c1d6e04cad9397c2d9dba20ea974f938","main_text"
19730,1,"FR19730",562,30,"[56.8, 634.01, 543.04, 654.44]","qu’elle a poussés, profonds, comme j’en ai rarement entendu","1a7d483a4cf884098f0fcf5987373eaa","main_text"
19731,1,"FR19731",562,31,"[56.8, 654.41, 181.02, 674.84]","de si touchants.","5e3f47b200913c8d0a3bf87d0a245465","main_text"
19732,1,"FR19732",562,32,"[99.3, 674.91, 543.04, 695.34]","— Je fais ce que je peux ! que je lui réponds. C’est","81bae4fa4e4f6bac6907673384167a63","main_text"
19733,1,"FR19733",562,33,"[56.8, 695.31, 145.66, 715.74]","dimanche !","ee0a7bdfe9b4712bf1f1993a60164b4a","main_text"
19734,1,"FR19734",562,34,"[99.3, 715.81, 538.44, 736.24]","— Et toi Léon ? qu’elle lui demande alors à lui. Toi, est-","a3d36ef54b37fd89c26efda6fce46bb5","main_text"
19735,1,"FR19735",562,35,"[56.8, 736.21, 516.31, 756.64]","ce que tu fais aussi tout ce que tu peux, dis ? C’était direct.","95c4ac08d62cdb59e1f6dc9791a16a8a","main_text"
19736,1,"FR19736",562,36,"[99.3, 756.71, 357.82, 777.14]","— Tu parles ! qu’il lui a répondu.","46e2f78c8b710c2cef9a21dc183669f7","main_text"
19737,1,"FR19737",562,37,"[259.7, 793.7, 335.8, 805.88]","Page 564 sur 584","09fd796c3afe8ea254405c5508d7c3ff","page_footer"
19738,1,"FR19738",563,1,"[221.9, 36.49, 372.67, 47.56]","L F Céline, Voyage au bout de la nuit","8b4d696ded44bd6391de7cea6f68f21a","page_header"
19739,1,"FR19739",563,2,"[99.3, 61.41, 543.04, 81.84]","Je les regardais tous les deux dans le moment où on","22c3e5f2a4522b8bf63d9e4cb8cf362c","main_text"
19740,1,"FR19740",563,3,"[56.8, 81.81, 543.04, 102.24]","passait devant les réverbères. C’était la colère. Madelon s’est","a438edbd42025e4d33f8cc69ab62314d","main_text"
19741,1,"FR19741",563,4,"[56.8, 102.31, 543.04, 122.74]","alors  penchée  comme  pour  l’embrasser.  C’était  dit","f1b55d1af927e288f3663ef2405bff4e","main_text"
